Author,Co-authors
I. Ourya,"S. Abderafi, Nouhaila Nabil, N. Boutammachte, S. Rachidi"
Nouhaila Nabil,"S. Rachidi, N. Lahboubi, A. Alaoui-Belghiti, Hassan El Bari, Sanae Habchi, I. Ourya, Seddiq Sebbahi, Oussama Bayssi, N. Boutammachte, A. Hajjaji, S. Abderafi, R. Villa, S. Laasri, Yasna Mortezaei"
S. Rachidi,"M. Asbik, Nouhaila Nabil, K. E. Alami, N. Zari, A. Amrani, B. Mitchell, C. Fausser, Dominique Pelca, H. Ait Ousaleh, Yousra Filali Baba, Abdechafik Elharrak, Yassine Nassereddine, H. Bouzekri, P. Flaud, J. Merckx, A. Faik, B. Mauroy, H. Agalit, Samir Touili, M. Boudi"
Soufiane Bahou,"H. Ez‐zahraouy, H. Labrim, M. Lakhal, B. Hartiti, M. Bhihi"
Sara El Hassani,"A. Mezrhab, M. Moussaoui, M. Charai, Othmane Horma, Aboubakr El hammouti, Y. Admi, D. Santana, J. Benhamou, S. Channouf, Mohammed Amine Moussaoui, Ouassila selhi, Hanane Miri, Mugur Balan, T. Kousksou, F. Oueslati, S. Derfoufi"
F. Oueslati,"B. Ben-Beya, T. Lili, Salwa Fezai, N. Ben-Cheikh, H. Beji, A. Belghith, Fezai Salwa, D. Santana, Othmane Horma, Sara El Hassani, M. Moussaoui, B. B. Beya, A. Mezrhab"
A. Mezrhab,"M. Moussaoui, S. Amraqui, M. Charai, Benyounes Raillani, H. Naji, M. Jami, M. Karkri, Dounia Chaatouf, M. Salhi, J. Benhamou, M. Bouzidi, Y. Admi, F. Moufekkir, S. Channouf, H. Sghiouri, El Bachir Lahmer, A. A. Merrouni, Othmane Horma, A. Bria, N. Dihmani"
M. Mahdavi,"K. Schmitt, H. Shayeghi, R. Romero, Hassan Haes Alhelou, Manohar Chamana, F. Jurado, Augustine Awaafo, H. Monsef, A. Bagheri, S. Jalilzadeh, F. Jurado, P. Siano, Stephen B. Bayne, J. Catalão, A. Kimiyaghalam, M. Javadi, A. Kazemi, D. Vera, R. Ramos, Leonardo H. Macedo"
D. Vera,"F. Jurado, D. A. López-García, L. Fernández-Lobato, B. Ruiz-Carrasco, Manuel Sánchez-Raya, J. Montesdeoca, M. Tostado‐Véliz, Y. López-Sánchez, P. Xu, Mohamed H. Hassan, Hoda Abd El-Sattar, Víctor Hugo del Corral, M. Castro, Antonio Escámez, Daniel Sánchez-Lozano, Roque Aguado, J. P. Torreglosa, Salah Kamel, Juan Pérez Torreglosa, M. Tostado-V éliz"
I. Ourya,"S. Abderafi, Nouhaila Nabil, N. Boutammachte, S. Rachidi"
S. Abderafi,"T. Bounahmidi, S. Vaudreuil, Mohamed Anouar Kamzon, Ahmed Tgarguifa, A. Brahim, Ahmed Bichri, Jaouad Eddouibi, Yousra Jbari, I. Ndiaye, S. Aboudaoud, M. Chaanaoui, A. Rich, J. Klein, Fayrouz El hamdani, Samya Sigue, A. Brahmi, I. Ourya, D. Mangin, S. Vaudreuil, I. Chaoui"
L. Sadek,"H. Talibi Alaoui, H. Alaoui, E. Sadek, A. Bataineh, A. Bentbib, I. Hashim, Tania A. Lazăr, Ishak Hashim, O. Isik, K. Shah, O. Sadek, Mohammed S. Abdo, A. Sami Bataineh, A. Akgül, Bouchra Abouzaid, Said Ounamane, B. Abouzaid, T. Abdeljawad"
O. Sadek,"S. Touhtouh, A. Hajjaji, M. Rkhis, M. El Jouad, F. Belhora, L. Sadek, R. Anoua, K. Shah, M. Bejar, E. Dhahri, Mohammed S. Abdo, El Mahdi Bouabdalli, El Mahdi Bouabdalli, Aymane Dahbi, L. Sadek, M. Khlifi, T. Abdeljawad, E. Hlil, Marwan Abdou Ahmed, H. Talibi Alaoui"
T. Abdeljawad,"K. Shah, F. Jarad, Aziz Khan, Manar A. Alqudah, D. Baleanu, K. Nisar, Bahaaeldin Abdalla, P. Mohammed, G. Rahman, Mohammed S Abdo, H. Khan, Kamal Shah, M. Sarwar, J. Alzabut, Q. Al‐Mdallal, Nabil Mlaiki, Nabil Mlaiki, I. Mahariq, M. Samraiz, Aziz Khan"
Hamza El Hafdaoui,"A. Khallaayoun, K. Ouazzani, Faissal Jelti, A. Jamil, Hamza El Alaoui, Ibtissam Bouarfa, Ahmed Bazzi, A. Khaldoun, M. El Ydrissi, Kedar Mehta, Anas Temouden, Salma Mahidat, Zakaria El Harmouzi, Mohamed Boujoudar, Abdelmajid Jamil, Hamza Touhs, Dalal Nasreddin, Aya Boumelha, Khadija Ajabboune, Soukaina Jaafari"
A. Khallaayoun,"Hamza El Hafdaoui, R. Lghoul, K. Ouazzani, Yikun Huang, Faissal Jelti, Imane L'hadi, A. Jamil, Reda El Makroum, Kedar Mehta, Hamza El Alaoui, Hamza El Hafdaoui, D. Benhaddou, Ahmed Bazzi, Sarah Lahtani, Mohammed Bakr Sikal, Konstantina Mentesidi, Mhammed Chraibi, M. Abid, A. Olson, W. Zörner"
K. Ouazzani,"M. Benslimane, Hamza El Hafdaoui, Mehdi Tmimi, A. Khallaayoun, M. Berrada, A. Jamil, J. Bentama, Ouissal Drissi El Bouzaidi, A. Allouhi, Faissal Jelti, A. A. Mana, A. Khaldoun, A. Elgarouani, P. Schmitz, A. El-Imache, M. Ayadi, A. Mana, Kedar Mehta, Ibtissam Bouarfa, Ahmed Bazzi"
Daniel Sánchez-Lozano,"M. Tostado‐Véliz, Antonio Escámez, F. Jurado, Roque Aguado, Paul Arévalo, L. I. Minchala-Ávila, D. Vera, D. Benavides, D. Vera, Adrián Criollo, A. Ghadimi, M. Miveh, R. Hadria, S. Oulbi"
Antonio Escámez,"M. Tostado‐Véliz, D. Vera, F. Jurado, Daniel Sánchez-Lozano, R. Aguado, F. Jurado, Roque Aguado, Paul Arévalo, F. Jurado, S. Mansouri, J. Aguado, D. Benavides, D. Vera, Yahya Z. Alharthi, A. Ghadimi, A. Rezaee Jordehi, M. Miveh, R. Hadria, S. Kamel, S. Oulbi"
D. Vera,"F. Jurado, F. Jurado, S. Kamel, R. Aguado, J. P. Torreglosa, M. Ortega, Antonio Escámez, H. A. El-Sattar, M. Tostado‐Véliz, D. A. López-García, M. Ortega, F. Jurado, M. Mahdavi, B. D. Mena, J. Carpio, M. Tawfik, L. Fernández-Lobato, Hend Dakhel Alhassany, Safaa Malik Abbas, Roque Aguado"
Samir Idrissi Kaitouni,"Mohamed Oualid Mghazli, Jamal Brigui, Niima Es-sakali, Mohammed Ahachad, J. Brigui, F. El Mansouri, Ibtihal Ait Abdelmoula, Imad Ait Laasri, Moha Cherkaoui, Jens Pfafferott, Mohamed El Mankibi, Abdelmajid Jamil, M. Ahachad, M. Charai, J. Pfafferott, A. Jamil, Park Sangkyu, Mohamed Oualid Mghazli, Zineb Zoubir, Abdellah Nait-Taour"
Mohamed Oualid Mghazli,"Niima Es-sakali, Samir Idrissi Kaitouni, Imad Ait Laasri, Moha Cherkaoui, Samir Idrissi Kaitouni, M. Charai, Imad Ait Laasri, Abdellah Nait-Taour, Abdelkader Outzourhit, Jens Pfafferott, Mohamed El Mankibi, Abdelmajid Jamil, A. Outzourhit, J. Pfafferott, Imane Bouchefra, Fatima-Zahra El-Bichri, Mohammed Ahachad, Jamal Brigui, I. Sobhy, S. Cherif"
J. Brigui,"F. Cacciola, F. Mansouri, M. Palma, M. P. Lovillo, A. Liazid, C. Barroso, L. Mondello, H. E. Cadi, F. El Mansouri, G. F. Barbero, Asmae El Cadi, H. E. Farissi, Yassine Oulad El Majdoub, B. Ramdan, R. Rodríguez-Barroso, J. E. D. Esteves da Silva, J. C. D. Silva, A. Sakali, J. M. Quiroga, Ginane Selama"
F. Z. Echogdali,"S. Boutaleb, M. Abioui, M. Ouchchen, K. Abdelrahman, M. Ikirri, M. Id-Belqas, T. Abu-Alam, B. Dadi, H. El Ayady, M. Fnais, E. Abia, A. Bendarma, F. Faik, K. Mickus, R. B. Kpan, S. Essoussi, K. S. Sajinkumar, A. Miftah, M. Aadraoui, J. Aswathi"
S. Boutaleb,"M. Abioui, F. Z. Echogdali, L. Bouchaou, T. Tagma, M. Ouchchen, K. Abdelrahman, M. Ikirri, Y. Hsissou, M. Id-Belqas, N. Ettayfi, F. Ain-Lhout, M. Zunzunegui, B. Dadi, A. Vengosh, M. Fnais, E. Abia, Z. Lgourna, L. Bouragba, T. Abu-Alam, J. Jáuregui"
K. S. Sajinkumar,"T. Oommen, V. Rani, A. Rajaneesh, K. P. Thrivikramji, C. Vishnu, E. Bouali, C. Muraleedharan, S. Keerthy, P. Sundarajan, J. Aswathi, A. P. Pradeepkumar, S. Anbazhagan, Y. Anilkumar, R. Samuel, H. S. Bincy, Thomas Oommen, T. Martha, J. Gierke, Sidike Paheding, R. S. Ajin"
